"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"MBP54",26,26,0,26,2.1483446221183,2.05519840127387,0.797484157402068,4.93788528922828,3.60361812416098
"MBP55",34,35,2.32071417579035,34.6399954730647,2.63311726436097,1.75958191472992,0.62539506373083,2.66947897152497,4.92558301696329
"MBP56",42,42.3333333333333,0.923774110890635,42.6631839254868,3.18588296226877,2.09439194841018,0.732886273041352,3.74372373664948,6.31086570741535
"MBP57",25,25,0,25,2,1.87284052047722,0.739205206864881,3.83443238255871,3.44331680957018
"MBP58",32,33,2.31922139494872,32.9183972153,2.72157895861536,1.53093428940518,0.538221143577257,2.16553873372784,4.58880698940897
"MBP59",31,31,0,31,2.5272706175227,2.20946804543508,0.828926140853945,5.8454284306888,4.4219400262087
"MBP60",29,35,7.291874146708,32.586460182408,2.50399678356889,2.03552175302372,0.788506907733137,4.72828681675425,4.09134408541167
"MBP61",34,34.5,1.29274732727394,34.6571695906433,2.72520610880318,2.30094662951685,0.824698082868768,5.70444417473995,4.92558301696329
"MBP62",30,31,2.31753484157962,30.8122076892588,2.27998041643321,2.13728143324231,0.811092538526849,5.29359715175743,4.25611230196616
"MBP63",32,32,0.164041830708579,32.4317146776406,2.60879214156954,2.09755456426113,0.822949039365201,5.64809135411974,4.58880698940897
"MBP64",18,18,0,18,1.90029237516523,1.8633405495696,0.817209977332436,5.47075811582276,2.35613422990319
"MBP65",31,31.25,0.73474060048428,31.8657652361356,2.46633854998816,1.834033101427,0.685781326760007,3.18249704795941,4.4219400262087
"MBP66",21,21,0,21,2.22539456105675,1.45411809870111,0.59392579710261,2.46260410748793,2.81423740822782
"MBP67",24,24,0,24,2.12132034355964,1.90327369679769,0.76838986207228,4.31760029568341,3.28419721195356
"MBP68",27,28,2.31455024943138,28.101935483871,2.14876855546466,1.79176506208289,0.727580070699304,3.67080339007137,3.76507344444083
"MBP69",22,22,0.162834736819732,22.6940270473328,2.18267782899433,1.313791665784,0.623691825926994,2.65739643435434,2.96962428514623
"MBP70",26,27,1.81103158198484,29.7767857142857,2.25296660981836,1.72192591687498,0.693592908977317,3.26363204148552,3.60361812416098
"MBP71",35,35,0.0985610760609162,35.281243218316,2.894784522467,1.82152174857361,0.761601190380836,4.1946518172531,5.09545673511317
"MBP72",25,25,0.244948974278318,25.41459375,2.24669352545091,1.89786968093894,0.773734194113375,4.41958074964748,3.44331680957018
"MBT23",80,82.3333333333333,2.4229827081881,83.8810753980713,4.46515398344262,2.48882597372785,0.770745977108164,4.36197361941957,13.5818633566218
"MBT24",74,80.1111111111111,4.97503960611518,80.2401481438733,4.3119380939218,1.51056744885582,0.469361410141399,1.8845218178845,12.3670051348634
"MBT26",80,83.5,3.66065102608772,82.4231304784382,4.35875478177293,2.37767086465865,0.774148364411124,4.42768544665458,13.5818633566218
"MBT27",80,86,4.69862436470747,87.277830203038,4.52950718425336,2.55096465930952,0.856658947279892,6.97636846544327,13.5818633566218
"MBT34",58,61.5,3.6598544750688,61.2268493150685,3.76085509237397,2.01480529726889,0.689449370434448,3.22008685475525,9.24444780685839
"MBT36",59,63,3.8887176601667,63.4699172362646,3.87894913148671,1.92976442962769,0.666011536695288,2.99411539579934,9.43435399853725
"MBT5",62,63.6666666666667,2.04390138586194,65.1504498269896,3.94041127293579,2.2586977540832,0.76940050768401,4.33652299038761,10.0084116721701
"MBT6",65,65.75,1.25512997950283,66.5823032388312,4.02687095923203,2.69323613668883,0.882280519778718,8.49477077302972,10.5888514478654
"MBT8",84,86.5454545454545,2.60688591344578,88.2722313732429,4.62152919458732,3.09191329514448,0.926816175135632,13.6642215934095,14.4043234487311
"MBT9",71,78.5,6.35032710036815,76.855153296095,4.26687336508991,2.87576981541677,0.905979087236747,10.6359316306365,11.768282665353
"MBAS1",52,55.6,3.35516015121302,58.4490625,3.71512368915566,1.0523985927419,0.355919130996625,1.55260006642855,8.12066246198951
"MBAS10",82,86.7142857142857,3.77869600553699,88.7841121387947,4.44928911971436,2.49292428584656,0.840207108510616,6.25810066192108,13.9918578171761
"MBAS11",75,80.5,4.50943111091625,80.6379774764114,4.19604130534871,1.51755160295778,0.492877505713614,1.97191016227191,12.5678830979233
"MBAS12",51,57.1111111111111,4.9741986231781,59.3897721043151,3.72964685259291,1.84259093282608,0.777686833856636,4.49815913896493,7.93604108941908
"MBAS14",80,85.3529411764706,3.97012017029471,90.6377797391027,4.62736776946894,1.80123218348448,0.61332538700393,2.58615374888903,13.5818633566218
"MBAS15",85,86.6363636363636,1.75930041781317,89.6382305311688,4.28662111003805,1.50569844381998,0.509077621721347,2.03698190232507,14.6114741902846
